iter	Passed	Remaining
0	72	1449487
1	142	1422944
2	214	1427694
3	294	1471558
4	365	1460939
5	430	1435274
6	502	1436307
7	571	1427409
8	640	1421823
9	713	1426600
10	779	1416729
11	859	1432114
12	931	1431457
13	998	1424847
14	1064	1418709
15	1134	1417444
16	1201	1411789
17	1278	1419066
18	1348	1418039
19	1398	1397422
20	1467	1395961
21	1532	1391640
22	1600	1390379
23	1669	1389346
24	1708	1365306
25	1776	1364640
26	1851	1369629
27	1922	1371644
28	1987	1368546
29	2055	1368413
30	2092	1347886
31	2159	1347414
32	2228	1348249
33	2288	1344042
34	2355	1343756
35	2423	1343899
36	2492	1344973
37	2558	1343834
38	2624	1343522
39	2690	1342608
40	2761	1344170
41	2824	1342165
42	2900	1346031
43	2932	1330128
44	3004	1332334
45	3072	1332960
46	3136	1331679
47	3207	1333146
48	3283	1336811
49	3349	1336604
50	3425	1340086
51	3495	1340852
52	3566	1342416
53	3636	1343151
54	3702	1342724
55	3769	1342540
56	3840	1343544
57	3917	1346908
58	3982	1346151
59	4050	1346272
60	4116	1345555
61	4183	1345411
62	4249	1344705
63	4326	1347580
64	4392	1347277
65	4460	1347311
66	4529	1347502
67	4596	1347385
68	4665	1347516
69	4737	1348706
70	4808	1349692
71	4886	1352577
72	4962	1354563
73	5030	1354689
74	5100	1355041
75	5172	1356063
76	5237	1355088
77	5292	1351820
78	5360	1351706
79	5430	1352091
80	5496	1351584
81	5563	1351269
82	5628	1350743
83	5694	1350104
84	5765	1350831
85	5836	1351472
86	5908	1352429
87	5973	1351725
88	6044	1352183
89	6111	1352043
90	6180	1352174
91	6247	1351985
92	6323	1353470
93	6390	1353246
94	6463	1354284
95	6529	1353693
96	6595	1353250
97	6658	1352249
98	6729	1352734
99	6795	1352293
100	6860	1351619
101	6939	1353767
102	7005	1353265
103	7068	1352333
104	7133	1351551
105	7204	1352123
106	7279	1353409
107	7343	1352575
108	7411	1352502
109	7478	1352171
110	7542	1351548
111	7615	1352348
112	7682	1352023
113	7749	1351749
114	7814	1351230
115	7845	1344794
116	7914	1345033
117	7988	1345953
118	8057	1346079
119	8126	1346255
120	8190	1345636
121	8260	1345973
122	8336	1347246
123	8404	1347117
124	8435	1341181
125	8503	1341318
126	8570	1341099
127	8633	1340428
128	8707	1341226
129	8773	1340954
130	8842	1341123
131	8918	1342307
132	8993	1343474
133	9062	1343490
134	9132	1343877
135	9199	1343595
136	9286	1346469
137	9356	1346695
138	9406	1344040
139	9471	1343654
140	9537	1343341
141	9607	1343534
142	9682	1344501
143	9750	1344490
144	9841	1347622
145	9910	1347673
146	9981	1348000
147	10048	1347909
148	10118	1348056
149	10183	1347621
150	10253	1347762
151	10306	1345818
152	10371	1345388
153	10437	1345024
154	10507	1345245
155	10588	1346933
156	10657	1346987
157	10724	1346803
158	10792	1346718
159	10857	1346303
160	10928	1346693
161	11007	1347951
162	11074	1347746
163	11143	1347765
164	11208	1347434
165	11287	1348632
166	11361	1349263
167	11426	1348844
168	11513	1351062
169	11585	1351393
170	11651	1351097
171	11716	1350665
172	11784	1350531
173	11854	1350720
174	11923	1350785
175	11997	1351392
176	12064	1351205
177	12152	1353333
178	12221	1353297
179	12296	1354029
180	12363	1353794
181	12433	1353920
182	12509	1354597
183	12577	1354537
184	12648	1354750
185	12715	1354589
186	12781	1354254
187	12851	1354376
188	12937	1356109
189	13010	1356488
190	13080	1356585
191	13146	1356280
192	13211	1355822
193	13300	1357864
194	13369	1357846
195	13436	1357618
196	13504	1357467
197	13572	1357352
198	13637	1356953
199	13707	1357066
200	13776	1356977
201	13843	1356843
202	13914	1356978
203	13985	1357143
204	14058	1357521
205	14126	1357355
206	14190	1356880
207	14256	1356567
208	14333	1357280
209	14399	1356950
210	14463	1356468
211	14528	1356125
212	14599	1356273
213	14643	1353903
214	14714	1354085
215	14780	1353785
216	14852	1354000
217	14918	1353752
218	14985	1353561
219	15045	1352768
220	15119	1353178
221	15187	1353047
222	15255	1352928
223	15333	1353735
224	15398	1353393
225	15470	1353567
226	15542	1353826
227	15629	1355365
228	15696	1355210
229	15767	1355315
230	15833	1354995
231	15900	1354814
232	15965	1354431
233	16043	1355191
234	16119	1355770
235	16186	1355516
236	16253	1355373
237	16328	1355804
238	16394	1355519
239	16462	1355385
240	16529	1355199
241	16597	1355064
242	16664	1354906
243	16730	1354633
244	16797	1354415
245	16864	1354219
246	16930	1353947
247	16995	1353628
248	17069	1353978
249	17118	1352369
250	17187	1352368
251	17253	1352058
252	17323	1352111
253	17392	1352070
254	17458	1351837
255	17527	1351773
256	17598	1351946
257	17663	1351629
258	17729	1351342
259	17795	1351056
260	17861	1350814
261	17929	1350753
262	17998	1350674
263	18072	1351041
264	18141	1350991
265	18205	1350661
266	18274	1350592
267	18349	1351007
268	18417	1350889
269	18483	1350666
270	18550	1350482
271	18618	1350412
272	18688	1350463
273	18766	1351020
274	18833	1350881
275	18901	1350782
276	18966	1350437
277	19032	1350238
278	19111	1350892
279	19180	1350828
280	19247	1350664
281	19314	1350511
282	19393	1351183
283	19459	1350922
284	19527	1350844
285	19596	1350767
286	19670	1351076
287	19737	1350931
288	19803	1350678
289	19871	1350567
290	19938	1350382
291	20004	1350158
292	20081	1350672
293	20147	1350421
294	20213	1350212
295	20273	1349539
296	20352	1350160
297	20423	1350261
298	20488	1349964
299	20554	1349773
300	20620	1349493
301	20686	1349310
302	20752	1349031
303	20816	1348711
304	20886	1348717
305	20956	1348761
306	21021	1348481
307	21095	1348735
308	21162	1348549
309	21229	1348395
310	21297	1348293
311	21369	1348440
312	21435	1348247
313	21505	1348248
314	21573	1348189
315	21641	1348101
316	21708	1347904
317	21771	1347535
318	21838	1347334
319	21904	1347109
320	21975	1347197
321	22041	1346989
322	22115	1347294
323	22185	1347320
324	22209	1344516
325	22276	1344390
326	22345	1344340
327	22422	1344787
